RECTYPE,LEA,ESTAB,URN,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8MEA,P8CILOW,P8CIUPP,PTEBACC_E_PTQ_EE,PTEBACC_PTQ_EE,PTL2BASICS_LL_PTQ_EE,PTAC5EM_PTQ_EE
1,201,6007,100003,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,201,6005,100001,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,201,,,,,,,,,,,,,
1,202,4285,100053,0,CY,175,49.4,-0.33,-0.49,-0.17,42%,30%,59%,52%
1,202,4611,100054,0,VA,111,59.8,0.30,0.10,0.50,70%,60%,78%,77%
1,202,6000,137333,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,6387,100084,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,4275,100052,0,CY,206,49.9,0.10,-0.05,0.25,67%,33%,59%,52%
1,202,4104,100049,0,CY,207,46.9,-0.11,-0.26,0.03,12%,9%,55%,46%
1,202,5401,100059,0,VA,173,57.3,0.42,0.26,0.58,45%,27%,76%,73%
1,202,4652,100055,0,VA,92,50.1,0.18,-0.05,0.40,48%,27%,65%,59%
1,202,6269,100074,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,4166,100050,0,CY,175,55.2,0.16,0.00,0.32,55%,37%,67%,59%
1,202,4196,100051,0,CY,151,41.5,-0.15,-0.34,0.05,28%,11%,50%,42%
1,202,6014,100062,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,6307,100076,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,4000,137181,0,AC,,,,,,,,,
1,202,6018,100065,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,4688,100056,0,VA,123,50.5,-0.36,-0.55,-0.16,63%,37%,67%,56%
2,202,7137,100092,0,CYS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2,202,7205,100096,0,CYS,24,NE,NE,NE,NE,NE,NE,NE,NE
4,202,,,,,1439,50.0,0.00,-0.06,0.05,45.4%,27.9%,62.1%,55.4%
1,203,6376,134827,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,6295,100756,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,6293,100202,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,4243,137473,0,ACC,178,44.5,-0.34,-0.53,-0.16,22%,8%,51%,44%
1,203,4077,100182,0,CY,147,50.8,0.08,-0.11,0.26,37%,21%,56%,52%
1,203,6002,140226,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,4001,138245,0,F,,,,,,,,,
1,203,4000,138449,0,AC,152,52.6,0.36,0.18,0.55,59%,34%,58%,54%
1,203,4003,142608,0,F,,,,,,,,,
1,203,4508,100192,0,VC,205,43.2,-0.68,-0.83,-0.53,68%,15%,31%,29%
1,203,4130,100183,0,CY,238,48.7,0.04,-0.10,0.18,45%,29%,58%,55%
1,203,6004,141315,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,6300,134402,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,6169,100200,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,3526,100171,0,VA,,,,,,,,,
1,203,6905,105135,0,AC,232,49.7,0.01,-0.13,0.15,41%,23%,72%,62%
1,203,4716,141716,0,ACC,121,60.4,0.73,0.54,0.92,53%,40%,72%,71%
1,203,4682,100193,0,VA,117,59.2,0.44,0.24,0.64,79%,60%,85%,64%
1,203,6377,132777,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,4271,141309,0,ACC,263,50.5,-0.07,-0.20,0.07,54%,27%,70%,61%
1,203,6041,136100,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,4294,100190,0,CY,232,49.7,-0.06,-0.20,0.08,38%,26%,58%,57%
1,203,4002,139786,0,FUTC,62,48.1,-0.29,-0.58,0.00,10%,3%,58%,53%
1,203,4250,141163,0,ACC,219,52.4,0.46,0.31,0.62,57%,37%,73%,68%
2,203,7199,138547,0,ACCS,33,1.9,-1.39,-1.76,-1.02,0%,0%,0%,0%
2,203,7118,100204,0,CYS,10,6.3,-3.00,-3.69,-2.30,0%,0%,10%,0%
