"Old.LA.Code" "5.or.more.A*-C.in.both.English.and.Maths.GCSEs" "LA.Name.x" "REGION" "REGION.NAME" "Area Code" "LA.Name.y"
"1" 201 NA "City of London" 32 "London East" "E09000001" "City of London"
"2" 201 NA "City of London" 32 "London East" "E09000001" "City of London"
"3" 201 "" "City of London" 32 "London East" "E09000001" "City of London"
"4" 202 "52%" "Camden" 31 "London Central" "E09000007" "Camden"
"5" 202 "77%" "Camden" 31 "London Central" "E09000007" "Camden"
"6" 202 NA "Camden" 31 "London Central" "E09000007" "Camden"
"7" 202 NA "Camden" 31 "London Central" "E09000007" "Camden"
"8" 202 "52%" "Camden" 31 "London Central" "E09000007" "Camden"
"9" 202 "46%" "Camden" 31 "London Central" "E09000007" "Camden"
"10" 202 "73%" "Camden" 31 "London Central" "E09000007" "Camden"
"11" 202 "59%" "Camden" 31 "London Central" "E09000007" "Camden"
"12" 202 NA "Camden" 31 "London Central" "E09000007" "Camden"
"13" 202 "59%" "Camden" 31 "London Central" "E09000007" "Camden"
"14" 202 "42%" "Camden" 31 "London Central" "E09000007" "Camden"
"15" 202 NA "Camden" 31 "London Central" "E09000007" "Camden"
"16" 202 NA "Camden" 31 "London Central" "E09000007" "Camden"
"17" 202 "" "Camden" 31 "London Central" "E09000007" "Camden"
"18" 202 NA "Camden" 31 "London Central" "E09000007" "Camden"
"19" 202 "56%" "Camden" 31 "London Central" "E09000007" "Camden"
"20" 202 "SUPP" "Camden" 31 "London Central" "E09000007" "Camden"
"21" 202 "NE" "Camden" 31 "London Central" "E09000007" "Camden"
"22" 202 "55.4%" "Camden" 31 "London Central" "E09000007" "Camden"
"23" 203 NA "Greenwich" 32 "London East" "E09000011" "Greenwich"
"24" 203 NA "Greenwich" 32 "London East" "E09000011" "Greenwich"
"25" 203 NA "Greenwich" 32 "London East" "E09000011" "Greenwich"
"26" 203 "44%" "Greenwich" 32 "London East" "E09000011" "Greenwich"
"27" 203 "52%" "Greenwich" 32 "London East" "E09000011" "Greenwich"
"28" 203 NA "Greenwich" 32 "London East" "E09000011" "Greenwich"
"29" 203 "" "Greenwich" 32 "London East" "E09000011" "Greenwich"
"30" 203 "54%" "Greenwich" 32 "London East" "E09000011" "Greenwich"
"31" 203 "" "Greenwich" 32 "London East" "E09000011" "Greenwich"
"32" 203 "29%" "Greenwich" 32 "London East" "E09000011" "Greenwich"
"33" 203 "55%" "Greenwich" 32 "London East" "E09000011" "Greenwich"
"34" 203 NA "Greenwich" 32 "London East" "E09000011" "Greenwich"
"35" 203 NA "Greenwich" 32 "London East" "E09000011" "Greenwich"
"36" 203 NA "Greenwich" 32 "London East" "E09000011" "Greenwich"
"37" 203 "" "Greenwich" 32 "London East" "E09000011" "Greenwich"
"38" 203 "62%" "Greenwich" 32 "London East" "E09000011" "Greenwich"
"39" 203 "71%" "Greenwich" 32 "London East" "E09000011" "Greenwich"
"40" 203 "64%" "Greenwich" 32 "London East" "E09000011" "Greenwich"
"41" 203 NA "Greenwich" 32 "London East" "E09000011" "Greenwich"
"42" 203 "61%" "Greenwich" 32 "London East" "E09000011" "Greenwich"
"43" 203 NA "Greenwich" 32 "London East" "E09000011" "Greenwich"
"44" 203 "57%" "Greenwich" 32 "London East" "E09000011" "Greenwich"
"45" 203 "53%" "Greenwich" 32 "London East" "E09000011" "Greenwich"
"46" 203 "68%" "Greenwich" 32 "London East" "E09000011" "Greenwich"
"47" 203 "0%" "Greenwich" 32 "London East" "E09000011" "Greenwich"
"48" 203 "0%" "Greenwich" 32 "London East" "E09000011" "Greenwich"
"49" 203 NA "Greenwich" 32 "London East" "E09000011" "Greenwich"
"50" 203 "54.6%" "Greenwich" 32 "London East" "E09000011" "Greenwich"
"51" 204 NA "Hackney" 32 "London East" "E09000012" "Hackney"
"52" 204 NA "Hackney" 32 "London East" "E09000012" "Hackney"
"53" 204 NA "Hackney" 32 "London East" "E09000012" "Hackney"
"54" 204 NA "Hackney" 32 "London East" "E09000012" "Hackney"
"55" 204 NA "Hackney" 32 "London East" "E09000012" "Hackney"
"56" 204 "61%" "Hackney" 32 "London East" "E09000012" "Hackney"
"57" 204 "50%" "Hackney" 32 "London East" "E09000012" "Hackney"
"58" 204 "76%" "Hackney" 32 "London East" "E09000012" "Hackney"
"59" 204 "70%" "Hackney" 32 "London East" "E09000012" "Hackney"
"60" 204 NA "Hackney" 32 "London East" "E09000012" "Hackney"
"61" 204 "" "Hackney" 32 "London East" "E09000012" "Hackney"
"62" 204 "64%" "Hackney" 32 "London East" "E09000012" "Hackney"
"63" 204 "68%" "Hackney" 32 "London East" "E09000012" "Hackney"
"64" 204 "85%" "Hackney" 32 "London East" "E09000012" "Hackney"
"65" 204 "" "Hackney" 32 "London East" "E09000012" "Hackney"
"66" 204 "63%" "Hackney" 32 "London East" "E09000012" "Hackney"
"67" 204 NA "Hackney" 32 "London East" "E09000012" "Hackney"
"68" 204 "60%" "Hackney" 32 "London East" "E09000012" "Hackney"
"69" 204 "61%" "Hackney" 32 "London East" "E09000012" "Hackney"
"70" 204 "65%" "Hackney" 32 "London East" "E09000012" "Hackney"
"71" 204 NA "Hackney" 32 "London East" "E09000012" "Hackney"
"72" 204 NA "Hackney" 32 "London East" "E09000012" "Hackney"
"73" 204 "39%" "Hackney" 32 "London East" "E09000012" "Hackney"
"74" 204 NA "Hackney" 32 "London East" "E09000012" "Hackney"
"75" 204 "71%" "Hackney" 32 "London East" "E09000012" "Hackney"
"76" 204 "NE" "Hackney" 32 "London East" "E09000012" "Hackney"
"77" 204 "SUPP" "Hackney" 32 "London East" "E09000012" "Hackney"
"78" 204 NA "Hackney" 32 "London East" "E09000012" "Hackney"
"79" 204 NA "Hackney" 32 "London East" "E09000012" "Hackney"
"80" 204 "0%" "Hackney" 32 "London East" "E09000012" "Hackney"
"81" 204 "63.5%" "Hackney" 32 "London East" "E09000012" "Hackney"
"82" 205 "47%" "Hammersmith and Fulham" 35 "London West" "E09000013" "Hammersmith and Fulham"
"83" 205 NA "Hammersmith and Fulham" 35 "London West" "E09000013" "Hammersmith and Fulham"
"84" 205 "" "Hammersmith and Fulham" 35 "London West" "E09000013" "Hammersmith and Fulham"
"85" 205 "44%" "Hammersmith and Fulham" 35 "London West" "E09000013" "Hammersmith and Fulham"
"86" 205 "69%" "Hammersmith and Fulham" 35 "London West" "E09000013" "Hammersmith and Fulham"
"87" 205 NA "Hammersmith and Fulham" 35 "London West" "E09000013" "Hammersmith and Fulham"
